person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
65,40440,RENT,1.0,MEDICAL,D,26658,15.67,0.659,N,9,1
43,43851,MORTGAGE,0.2,PERSONAL,A,32994,7.23,0.752,N,12,0
30,41745,MORTGAGE,10.0,EDUCATION,A,27365,6.66,0.656,N,15,0
32,39258,RENT,2.5,MEDICAL,B,7562,10.98,0.193,N,20,0
53,96951,MORTGAGE,1.5,VENTURE,B,21256,11.25,0.219,N,16,0
44,49040,RENT,4.1,HOMEIMPROVEMENT,C,20624,13.45,0.421,Y,23,1
26,83640,MORTGAGE,,DEBTCONSOLIDATION,E,30383,18.74,0.363,N,26,0
23,71117,MORTGAGE,5.3,PERSONAL,E,23127,19.94,0.325,N,11,1
27,26788,MORTGAGE,3.3,HOMEIMPROVEMENT,A,5672,6.1,0.212,N,5,1
39,19063,MORTGAGE,,VENTURE,B,32370,10.52,1.698,Y,8,1
48,24830,RENT,9.6,VENTURE,A,25722,6.38,1.036,N,25,0
64,38766,MORTGAGE,1.1,EDUCATION,E,12842,19.26,0.331,N,7,0
65,52779,OWN,2.0,MEDICAL,B,21556,8.85,0.408,N,2,0
29,34318,OWN,2.9,PERSONAL,B,5640,11.42,0.164,N,23,0
62,72163,MORTGAGE,16.4,EDUCATION,D,7002,14.49,0.097,N,29,0
53,36672,RENT,2.3,HOMEIMPROVEMENT,B,24811,9.85,0.677,N,21,0
45,56462,OTHER,2.4,MEDICAL,A,8834,5.23,0.156,N,12,0
60,52295,RENT,5.3,PERSONAL,B,5205,11.4,0.1,Y,20,0
22,127253,MORTGAGE,2.7,HOMEIMPROVEMENT,C,7669,14.87,0.06,Y,4,0
25,28670,RENT,15.1,PERSONAL,C,13144,11.57,0.458,N,4,0
24,165153,OTHER,11.2,PERSONAL,C,4642,13.39,0.028,N,2,0
24,35351,MORTGAGE,,DEBTCONSOLIDATION,A,27876,6.65,0.789,Y,11,0
42,23458,MORTGAGE,5.2,DEBTCONSOLIDATION,B,25502,10.61,1.087,N,27,1
28,43507,RENT,0.3,MEDICAL,D,1367,17.89,0.031,N,15,0
54,291290,MORTGAGE,5.9,DEBTCONSOLIDATION,E,3447,19.46,0.012,N,18,0
39,80206,MORTGAGE,,HOMEIMPROVEMENT,A,30743,6.08,0.383,N,3,0
61,68297,MORTGAGE,2.2,DEBTCONSOLIDATION,A,27989,6.17,0.41,Y,15,0
54,75913,RENT,1.2,EDUCATION,C,5536,12.58,0.073,N,6,0
37,32103,MORTGAGE,12.3,EDUCATION,C,10278,12.13,0.32,N,8,0
36,58648,RENT,2.8,EDUCATION,A,31989,7.91,0.545,N,16,1
43,49088,MORTGAGE,5.3,PERSONAL,C,17412,14.01,0.355,N,22,0
22,132585,RENT,0.2,VENTURE,F,3850,23.51,0.029,N,20,0
51,46176,RENT,2.7,MEDICAL,C,5161,12.49,0.112,N,22,0
54,39812,RENT,8.5,EDUCATION,B,9216,11.39,0.231,N,7,0
57,25831,RENT,2.5,MEDICAL,D,14138,18.02,0.547,N,21,1
32,52944,RENT,4.6,DEBTCONSOLIDATION,A,7401,5.41,0.14,N,5,0
44,57591,OWN,1.2,PERSONAL,B,27185,9.42,0.472,N,15,0
28,25314,MORTGAGE,2.7,MEDICAL,B,30896,9.87,1.221,Y,2,1
23,62896,RENT,13.1,EDUCATION,B,17380,,0.276,N,24,0
33,55728,MORTGAGE,4.2,EDUCATION,E,19770,20.61,0.355,Y,9,1
56,85596,MORTGAGE,11.6,PERSONAL,B,6084,7.92,0.071,N,21,0
53,95492,OWN,11.6,PERSONAL,A,18385,6.2,0.193,N,7,0
30,51629,RENT,14.4,HOMEIMPROVEMENT,E,13942,20.37,0.27,N,16,0
60,27722,RENT,11.3,PERSONAL,A,27792,5.98,1.003,N,7,1
22,31043,OTHER,,VENTURE,B,16136,10.96,0.52,N,16,0
47,129206,RENT,13.6,VENTURE,C,6697,13.69,0.052,N,2,1
48,53691,RENT,0.7,EDUCATION,F,2279,22.93,0.042,N,11,1
28,128076,RENT,0.2,DEBTCONSOLIDATION,C,26489,13.95,0.207,N,5,1
22,64487,RENT,0.3,PERSONAL,B,9580,9.49,0.149,N,15,0
44,74202,OTHER,2.1,VENTURE,C,6858,12.68,0.092,N,23,0
53,82149,RENT,4.8,VENTURE,F,3001,21.59,0.037,N,13,0
31,25016,OWN,2.6,HOMEIMPROVEMENT,D,26816,,1.072,Y,26,1
61,58036,OTHER,0.1,DEBTCONSOLIDATION,A,20848,5.0,0.359,N,21,0
28,24826,MORTGAGE,3.2,DEBTCONSOLIDATION,D,31803,16.58,1.281,N,17,1
34,41910,RENT,2.9,PERSONAL,D,31568,,0.753,N,26,0
59,69709,RENT,7.1,HOMEIMPROVEMENT,C,31736,13.24,0.455,N,21,1
44,27891,MORTGAGE,1.6,DEBTCONSOLIDATION,C,10964,12.85,0.393,N,8,0
24,66678,RENT,1.2,DEBTCONSOLIDATION,B,6505,10.09,0.098,N,8,0
30,21501,MORTGAGE,1.5,MEDICAL,C,13900,13.64,0.646,N,25,1
53,91933,RENT,1.8,HOMEIMPROVEMENT,D,13914,17.37,0.151,N,8,1
43,34015,OWN,4.6,DEBTCONSOLIDATION,A,9021,6.92,0.265,N,7,1
34,27863,MORTGAGE,,MEDICAL,A,6551,6.8,0.235,Y,20,0
57,22260,MORTGAGE,2.1,MEDICAL,A,13936,,0.626,N,16,0
27,35644,OWN,2.3,DEBTCONSOLIDATION,D,4517,16.06,0.127,N,27,1
24,17168,RENT,2.3,PERSONAL,C,19888,11.56,1.158,Y,24,1
45,36256,RENT,18.0,MEDICAL,B,28451,9.34,0.785,N,29,1
37,89744,RENT,1.3,MEDICAL,D,23110,17.05,0.258,N,23,0
25,44188,RENT,8.5,HOMEIMPROVEMENT,C,5676,14.23,0.128,N,11,0
56,25651,MORTGAGE,6.2,PERSONAL,E,18754,19.56,0.731,N,13,1
32,55517,RENT,0.0,PERSONAL,A,28794,8.46,0.519,N,9,0
47,52883,RENT,24.9,MEDICAL,B,11137,8.02,0.211,N,5,0
24,143793,OTHER,,HOMEIMPROVEMENT,C,13650,14.95,0.095,N,8,0
32,75727,RENT,5.7,HOMEIMPROVEMENT,A,10236,5.98,0.135,N,24,0
36,57993,MORTGAGE,2.6,HOMEIMPROVEMENT,B,23140,10.36,0.399,N,4,0
59,80642,RENT,4.1,HOMEIMPROVEMENT,B,29293,9.2,0.363,Y,9,0
64,45528,RENT,1.5,EDUCATION,D,29557,16.37,0.649,N,14,1
51,47029,MORTGAGE,0.2,DEBTCONSOLIDATION,B,20297,10.02,0.432,N,14,0
48,122078,OWN,9.0,MEDICAL,B,8437,11.37,0.069,Y,27,0
22,19938,RENT,11.3,MEDICAL,B,8130,12.96,0.408,N,17,0
59,83480,RENT,0.9,MEDICAL,A,20665,8.06,0.248,N,17,0
53,46122,RENT,7.7,PERSONAL,E,27505,18.86,0.596,N,3,0
59,41759,RENT,6.8,PERSONAL,B,20585,11.84,0.493,N,4,0
46,36167,RENT,1.0,HOMEIMPROVEMENT,C,28275,10.96,0.782,N,16,0
32,53344,MORTGAGE,2.7,DEBTCONSOLIDATION,A,28190,6.3,0.528,N,18,0
64,47861,RENT,2.7,PERSONAL,B,18482,9.72,0.386,N,3,1
52,39023,MORTGAGE,7.1,VENTURE,E,28422,,0.728,N,28,1
25,33307,MORTGAGE,9.1,MEDICAL,G,34314,24.11,1.03,N,18,1
43,17189,RENT,,MEDICAL,B,20831,10.84,1.212,N,7,1
38,32922,RENT,4.1,EDUCATION,A,12147,7.0,0.369,N,12,0
35,36983,OTHER,7.2,EDUCATION,B,15988,9.84,0.432,N,6,0
59,53272,RENT,7.7,VENTURE,B,3982,11.69,0.075,N,7,0
47,144306,MORTGAGE,0.8,EDUCATION,C,28428,12.46,0.197,N,4,0
52,34934,RENT,3.7,DEBTCONSOLIDATION,B,8441,11.23,0.242,N,24,0
60,27915,MORTGAGE,9.7,HOMEIMPROVEMENT,D,33495,15.67,1.2,N,5,1
32,33091,RENT,1.9,HOMEIMPROVEMENT,C,19519,12.7,0.59,N,16,1
62,53334,RENT,2.8,MEDICAL,A,7274,6.09,0.136,N,18,0
64,67761,RENT,8.2,HOMEIMPROVEMENT,D,15469,14.25,0.228,N,4,0
44,73173,RENT,0.5,EDUCATION,D,16430,15.21,0.225,N,17,0
61,77283,OWN,9.8,VENTURE,C,24106,10.87,0.312,N,22,0
55,83539,MORTGAGE,1.9,DEBTCONSOLIDATION,E,3902,19.31,0.047,Y,24,0
46,42049,RENT,0.0,HOMEIMPROVEMENT,D,4235,,0.101,N,17,1
57,151634,MORTGAGE,1.3,MEDICAL,C,2934,14.3,0.019,N,26,0
26,40331,OWN,,MEDICAL,E,15515,18.13,0.385,N,22,0
24,52059,MORTGAGE,0.5,DEBTCONSOLIDATION,C,3719,12.69,0.071,N,2,0
62,99977,RENT,5.9,EDUCATION,B,29514,11.46,0.295,N,22,0
64,66938,OWN,1.2,HOMEIMPROVEMENT,B,18031,11.07,0.269,N,12,0
50,14293,RENT,13.6,EDUCATION,E,5335,19.16,0.373,N,2,1
42,49172,MORTGAGE,3.6,MEDICAL,A,31552,5.76,0.642,N,8,0
61,78753,MORTGAGE,3.1,VENTURE,B,28631,10.7,0.364,N,10,0
29,23414,OWN,2.8,HOMEIMPROVEMENT,C,12112,12.65,0.517,N,14,1
51,74078,OWN,5.9,VENTURE,C,11192,12.38,0.151,Y,23,0
62,60753,OWN,3.0,DEBTCONSOLIDATION,C,6722,14.6,0.111,Y,21,0
49,94009,RENT,0.7,HOMEIMPROVEMENT,B,10747,11.76,0.114,N,7,0
58,33504,OWN,10.6,MEDICAL,A,10581,,0.316,N,18,0
50,84773,RENT,2.8,HOMEIMPROVEMENT,D,19480,18.06,0.23,N,21,0
37,53518,RENT,0.4,MEDICAL,C,4028,12.89,0.075,N,7,0
55,129485,MORTGAGE,3.8,PERSONAL,D,5307,16.94,0.041,N,3,0
21,226914,MORTGAGE,5.2,MEDICAL,A,15267,9.2,0.067,N,4,0
33,114242,MORTGAGE,1.6,MEDICAL,C,28470,,0.249,N,21,0
32,63849,MORTGAGE,8.1,DEBTCONSOLIDATION,C,14231,13.31,0.223,N,7,0
48,175703,OWN,5.5,HOMEIMPROVEMENT,B,31202,10.87,0.178,N,20,0
31,68316,RENT,5.3,VENTURE,D,975,17.9,0.014,N,2,0
58,29751,RENT,,MEDICAL,A,29957,7.02,1.007,Y,23,1
21,47973,OWN,16.3,HOMEIMPROVEMENT,C,19710,13.97,0.411,N,25,0
51,74527,RENT,,MEDICAL,C,9073,12.07,0.122,N,17,0
32,77209,MORTGAGE,4.3,EDUCATION,C,24455,11.22,0.317,N,9,0
65,26399,MORTGAGE,1.8,EDUCATION,C,3764,12.19,0.143,N,17,0
46,26864,MORTGAGE,6.8,EDUCATION,A,4224,6.18,0.157,N,28,0
60,40630,MORTGAGE,0.2,EDUCATION,C,19394,14.17,0.477,N,5,0
36,65775,RENT,0.2,VENTURE,B,25660,9.91,0.39,Y,23,0
59,70573,OWN,8.3,DEBTCONSOLIDATION,B,3967,,0.056,N,16,0
50,52982,RENT,2.8,MEDICAL,B,32587,8.94,0.615,N,15,0
53,30978,RENT,2.1,EDUCATION,B,23851,9.5,0.77,N,2,1
43,127429,RENT,4.7,HOMEIMPROVEMENT,C,13271,14.1,0.104,N,23,0
64,27183,MORTGAGE,6.1,EDUCATION,D,10444,14.93,0.384,N,29,0
54,100336,MORTGAGE,1.1,PERSONAL,B,16770,9.85,0.167,N,2,0
25,73596,OWN,1.0,PERSONAL,B,20724,9.54,0.282,N,5,0
38,99129,MORTGAGE,15.9,DEBTCONSOLIDATION,B,21050,10.43,0.212,N,16,0
49,38390,MORTGAGE,4.5,VENTURE,C,14425,15.21,0.376,N,26,0
26,45321,OWN,2.5,PERSONAL,B,1568,9.22,0.035,Y,7,0
29,50527,MORTGAGE,8.1,HOMEIMPROVEMENT,B,11395,10.38,0.226,Y,5,0
60,37721,MORTGAGE,3.7,EDUCATION,C,18649,12.98,0.494,N,27,1
51,55486,MORTGAGE,1.4,PERSONAL,B,15831,,0.285,Y,21,0
53,116832,RENT,1.2,PERSONAL,A,5071,7.06,0.043,N,5,0
47,24022,MORTGAGE,2.5,VENTURE,A,17455,9.18,0.727,Y,11,1
34,34150,RENT,9.8,PERSONAL,B,31966,9.92,0.936,N,8,0
49,32171,MORTGAGE,,EDUCATION,A,30442,6.92,0.946,N,28,0
56,46540,MORTGAGE,1.2,DEBTCONSOLIDATION,C,16878,12.55,0.363,N,26,0
48,45499,OWN,11.2,DEBTCONSOLIDATION,A,29763,,0.654,N,7,0
41,74964,OWN,0.6,DEBTCONSOLIDATION,B,26649,8.8,0.355,N,24,0
23,49938,MORTGAGE,5.0,MEDICAL,A,13436,7.15,0.269,N,5,0
39,57906,MORTGAGE,1.2,EDUCATION,C,5061,13.53,0.087,N,28,0
51,61031,RENT,4.7,PERSONAL,D,33492,14.98,0.549,N,14,1
55,56104,MORTGAGE,2.4,PERSONAL,C,25633,14.92,0.457,N,12,0
23,72173,OWN,0.5,PERSONAL,C,15519,14.87,0.215,N,22,0
46,45831,OWN,4.4,VENTURE,C,20412,15.7,0.445,N,10,0
36,121237,OWN,5.7,HOMEIMPROVEMENT,A,15334,7.69,0.126,N,9,0
31,198370,RENT,5.7,EDUCATION,A,34009,7.5,0.171,N,11,0
41,72288,OWN,5.1,DEBTCONSOLIDATION,A,10633,6.91,0.147,N,3,0
36,55569,OWN,3.5,PERSONAL,A,9400,7.08,0.169,N,25,0
29,69114,RENT,3.7,MEDICAL,A,12980,8.11,0.188,N,4,0
20,26753,MORTGAGE,5.0,VENTURE,C,15874,13.02,0.593,N,3,1
41,54125,MORTGAGE,5.9,HOMEIMPROVEMENT,A,17888,6.82,0.33,N,19,0
45,32786,MORTGAGE,5.3,PERSONAL,E,27362,19.67,0.835,N,12,1
37,64892,OTHER,4.4,DEBTCONSOLIDATION,D,5444,15.25,0.084,N,21,0
33,32876,MORTGAGE,0.8,EDUCATION,F,33766,23.9,1.027,N,2,1
48,40553,MORTGAGE,1.2,MEDICAL,A,30330,7.01,0.748,N,6,0
31,17508,MORTGAGE,,DEBTCONSOLIDATION,D,12819,16.92,0.732,Y,28,1
55,25712,MORTGAGE,12.6,VENTURE,D,14343,15.04,0.558,Y,8,1
54,59586,OWN,7.1,EDUCATION,E,18435,18.95,0.309,Y,19,1
31,30398,MORTGAGE,4.0,EDUCATION,B,33993,9.53,1.118,N,6,1
26,87998,RENT,1.5,VENTURE,D,5181,15.58,0.059,N,21,0
48,29008,RENT,0.6,EDUCATION,A,7227,5.64,0.249,N,7,0
30,62899,RENT,11.5,MEDICAL,A,29904,8.27,0.475,N,2,1
52,32240,MORTGAGE,11.2,MEDICAL,A,4929,,0.153,N,18,0
25,60597,OWN,0.6,EDUCATION,E,23764,17.3,0.392,N,19,1
34,21075,RENT,8.0,PERSONAL,A,1434,6.75,0.068,N,5,0
51,38206,RENT,3.0,EDUCATION,A,9764,6.74,0.256,N,18,1
30,30778,RENT,2.0,PERSONAL,E,16472,19.48,0.535,N,14,0
42,79680,MORTGAGE,6.7,EDUCATION,A,32619,6.83,0.409,Y,6,0
45,63211,OWN,4.8,DEBTCONSOLIDATION,E,34140,20.3,0.54,Y,23,1
53,24886,MORTGAGE,7.6,HOMEIMPROVEMENT,D,25374,,1.02,N,27,1
65,43837,MORTGAGE,0.4,MEDICAL,A,3768,,0.086,N,5,0
53,32055,MORTGAGE,1.9,EDUCATION,A,12530,5.0,0.391,N,24,0
48,82672,RENT,1.9,MEDICAL,C,4484,14.64,0.054,Y,6,1
23,98650,MORTGAGE,2.0,VENTURE,G,24424,25.95,0.248,Y,10,1
36,22183,MORTGAGE,3.5,HOMEIMPROVEMENT,E,25269,18.79,1.139,N,14,1
54,77241,MORTGAGE,1.7,PERSONAL,B,15233,9.69,0.197,N,10,0
32,31169,OWN,2.9,VENTURE,B,19319,9.89,0.62,N,5,0
60,42654,MORTGAGE,2.3,HOMEIMPROVEMENT,B,32733,10.3,0.767,N,27,0
58,49898,MORTGAGE,6.6,VENTURE,D,19493,15.35,0.391,N,15,0
34,133136,OWN,4.6,MEDICAL,B,8115,8.08,0.061,Y,23,1
48,28222,OTHER,5.3,DEBTCONSOLIDATION,A,24006,6.38,0.851,N,3,0
48,77583,MORTGAGE,1.2,HOMEIMPROVEMENT,D,29909,15.68,0.386,N,19,0
30,25736,RENT,2.0,VENTURE,B,8445,10.68,0.328,N,20,0
51,24777,MORTGAGE,0.1,PERSONAL,A,15344,5.57,0.619,N,27,0
21,49794,MORTGAGE,0.6,HOMEIMPROVEMENT,D,27819,16.77,0.559,N,3,0
33,49610,RENT,1.5,HOMEIMPROVEMENT,C,18773,11.55,0.378,N,10,0
39,10323,RENT,,VENTURE,B,25603,,2.48,N,15,1
41,92760,RENT,4.6,DEBTCONSOLIDATION,C,32740,13.66,0.353,N,13,0
30,15115,MORTGAGE,,EDUCATION,B,25353,9.84,1.677,N,21,1
46,45239,MORTGAGE,0.5,PERSONAL,C,17212,13.06,0.38,Y,6,1
22,101741,RENT,8.6,PERSONAL,E,1523,19.84,0.015,N,3,0
36,165222,RENT,0.6,VENTURE,C,885,12.3,0.005,N,9,0
63,40147,MORTGAGE,5.5,DEBTCONSOLIDATION,C,20272,13.37,0.505,N,29,1
47,22289,RENT,5.2,MEDICAL,C,31956,12.58,1.434,N,25,1
48,99688,RENT,11.7,MEDICAL,C,23348,14.86,0.234,N,24,0
40,78892,MORTGAGE,0.6,EDUCATION,A,28898,7.65,0.366,N,8,0
35,37460,MORTGAGE,1.9,EDUCATION,B,3089,8.75,0.082,N,8,0
56,34938,RENT,0.5,VENTURE,C,28968,15.18,0.829,Y,9,0
39,33038,MORTGAGE,2.6,DEBTCONSOLIDATION,B,8771,11.2,0.265,N,21,0
25,40557,RENT,12.1,MEDICAL,B,893,8.55,0.022,N,23,0
38,58327,MORTGAGE,,PERSONAL,D,33934,14.17,0.582,N,29,1
24,35907,RENT,6.4,DEBTCONSOLIDATION,A,28824,5.53,0.803,N,25,0
22,38492,RENT,3.8,MEDICAL,C,8478,11.82,0.22,N,25,0
20,69752,MORTGAGE,10.7,DEBTCONSOLIDATION,B,19142,10.18,0.274,Y,5,1
57,21691,MORTGAGE,3.0,VENTURE,B,33299,10.1,1.535,N,2,1
34,39864,RENT,,MEDICAL,B,17904,10.88,0.449,Y,3,0
53,19501,RENT,9.1,HOMEIMPROVEMENT,A,14788,6.63,0.758,Y,5,1
54,52032,MORTGAGE,1.6,VENTURE,B,5063,9.69,0.097,N,10,0
44,16870,MORTGAGE,0.3,HOMEIMPROVEMENT,B,33559,10.14,1.989,N,4,1
43,79977,RENT,0.7,DEBTCONSOLIDATION,B,670,11.35,0.008,N,22,0
31,23788,MORTGAGE,4.7,VENTURE,C,7011,10.73,0.295,Y,2,0
37,18491,RENT,4.7,PERSONAL,B,14903,9.69,0.806,N,6,1
34,40135,MORTGAGE,1.5,VENTURE,D,24184,17.58,0.603,N,12,0
63,125631,RENT,6.5,VENTURE,C,26182,13.08,0.208,N,12,0
35,72486,RENT,7.4,VENTURE,A,29347,6.65,0.405,N,12,0
46,17029,RENT,12.7,VENTURE,A,3430,6.02,0.201,Y,16,0
27,23418,MORTGAGE,4.4,EDUCATION,A,3439,8.08,0.147,N,2,0
65,39435,RENT,7.6,HOMEIMPROVEMENT,F,16995,21.42,0.431,N,12,1
44,167895,RENT,7.0,VENTURE,E,24957,18.41,0.149,N,7,0
36,29248,RENT,1.5,VENTURE,A,31835,8.64,1.088,N,29,0
48,29378,RENT,1.9,DEBTCONSOLIDATION,C,26823,,0.913,N,18,0
27,113559,MORTGAGE,3.3,EDUCATION,F,10054,23.96,0.089,N,19,0
34,54567,RENT,0.1,MEDICAL,D,31907,16.2,0.585,Y,12,0
46,87478,MORTGAGE,1.8,DEBTCONSOLIDATION,B,16279,10.03,0.186,N,10,0
65,32862,RENT,,DEBTCONSOLIDATION,A,24099,7.34,0.733,N,28,0
26,46355,RENT,0.6,EDUCATION,A,31339,7.02,0.676,Y,13,0
22,101072,MORTGAGE,,EDUCATION,D,20811,15.37,0.206,N,14,0
48,45267,OWN,3.1,EDUCATION,D,4924,16.41,0.109,N,4,0
63,90914,RENT,6.6,DEBTCONSOLIDATION,B,28691,9.41,0.316,Y,26,0
43,60657,RENT,9.0,DEBTCONSOLIDATION,A,13552,7.51,0.223,N,5,0
22,27672,MORTGAGE,4.0,VENTURE,E,22539,21.78,0.815,Y,22,1
39,48582,OWN,3.2,EDUCATION,D,29555,16.79,0.608,N,17,1
65,84099,OTHER,2.4,EDUCATION,A,22627,,0.269,N,24,0
34,70839,MORTGAGE,1.1,DEBTCONSOLIDATION,A,6725,,0.095,N,5,0
44,47947,MORTGAGE,0.8,DEBTCONSOLIDATION,C,22521,12.62,0.47,N,29,0
49,17318,MORTGAGE,7.8,EDUCATION,B,19727,9.78,1.139,Y,28,1
33,18255,MORTGAGE,3.1,VENTURE,B,6749,9.87,0.37,N,13,0
26,20520,MORTGAGE,7.8,PERSONAL,A,34951,,1.703,N,11,1
36,37021,OWN,6.1,PERSONAL,F,26800,23.09,0.724,N,27,1
63,39838,MORTGAGE,1.1,MEDICAL,D,12448,18.53,0.312,N,14,1
39,21775,MORTGAGE,3.6,VENTURE,A,3058,7.78,0.14,N,7,0
55,86024,MORTGAGE,2.9,DEBTCONSOLIDATION,E,21017,17.68,0.244,N,26,0
28,24463,MORTGAGE,2.8,EDUCATION,C,16373,11.46,0.669,N,9,0
57,23067,MORTGAGE,3.9,EDUCATION,B,22954,9.92,0.995,N,12,0
41,51458,MORTGAGE,20.1,EDUCATION,E,8578,20.2,0.167,N,18,0
21,83754,RENT,8.4,PERSONAL,C,20542,12.75,0.245,N,7,0
43,151777,RENT,11.7,DEBTCONSOLIDATION,D,8029,15.77,0.053,N,16,0
27,67534,MORTGAGE,0.2,EDUCATION,B,11984,11.08,0.177,N,14,0
30,116880,MORTGAGE,0.8,EDUCATION,B,27205,9.97,0.233,Y,10,0
32,25169,RENT,0.4,PERSONAL,B,18303,,0.727,N,16,1
36,160790,MORTGAGE,1.5,EDUCATION,B,17732,8.19,0.11,N,20,0
27,17609,RENT,2.9,MEDICAL,C,32823,13.57,1.864,N,20,1
40,37156,RENT,5.1,DEBTCONSOLIDATION,F,14060,19.87,0.378,N,11,1
37,66726,OWN,3.5,HOMEIMPROVEMENT,C,25840,13.32,0.387,N,29,0
49,20274,OWN,11.7,MEDICAL,A,28746,8.08,1.418,N,6,1
37,29440,RENT,14.1,VENTURE,A,23310,5.05,0.792,N,26,0
65,26977,MORTGAGE,0.9,MEDICAL,D,10725,13.25,0.398,Y,16,0
50,41331,RENT,9.6,MEDICAL,B,16487,11.02,0.399,N,4,0
57,107137,OTHER,3.3,PERSONAL,B,6301,10.54,0.059,N,17,0
51,49476,RENT,3.0,VENTURE,D,21231,14.68,0.429,Y,6,1
30,37998,RENT,7.7,DEBTCONSOLIDATION,F,30177,22.29,0.794,N,28,1
64,10032,MORTGAGE,0.5,DEBTCONSOLIDATION,D,10087,15.35,1.005,N,6,1
44,63368,MORTGAGE,10.7,MEDICAL,A,22304,6.79,0.352,Y,28,0
52,75698,RENT,5.6,HOMEIMPROVEMENT,B,28481,9.68,0.376,N,25,0
57,19244,MORTGAGE,10.4,MEDICAL,D,9399,14.4,0.488,N,3,0
60,47247,RENT,26.0,EDUCATION,E,30091,,0.637,Y,9,1
27,54510,OWN,3.6,PERSONAL,G,9546,23.73,0.175,N,18,0
30,83327,RENT,0.5,EDUCATION,B,33236,10.11,0.399,N,22,0
41,32904,OWN,0.9,VENTURE,D,26329,16.78,0.8,N,4,0
43,30289,MORTGAGE,2.0,VENTURE,A,26744,6.0,0.883,N,22,0
60,38136,RENT,0.5,PERSONAL,B,10322,9.67,0.271,N,26,0
36,99353,OTHER,8.4,MEDICAL,B,24383,9.39,0.245,N,29,0
31,87039,OTHER,1.8,VENTURE,F,11938,24.07,0.137,Y,28,1
65,48448,MORTGAGE,18.6,HOMEIMPROVEMENT,A,7603,8.1,0.157,N,2,0
51,85894,RENT,6.1,PERSONAL,B,24127,10.91,0.281,N,23,0
34,13322,MORTGAGE,1.0,EDUCATION,E,9022,,0.677,Y,11,1
35,75766,MORTGAGE,3.2,HOMEIMPROVEMENT,B,1370,10.42,0.018,N,29,0
41,26494,MORTGAGE,3.1,DEBTCONSOLIDATION,A,30635,6.6,1.156,N,17,0
47,129555,MORTGAGE,3.4,PERSONAL,D,9068,14.27,0.07,Y,14,0
39,27300,RENT,3.8,HOMEIMPROVEMENT,D,19520,,0.715,N,7,0
52,30668,MORTGAGE,0.2,PERSONAL,B,28551,10.19,0.931,N,14,1
29,66791,MORTGAGE,5.8,EDUCATION,F,4593,23.12,0.069,N,13,0
59,70433,RENT,3.3,MEDICAL,A,9513,6.22,0.135,N,24,0
51,38350,MORTGAGE,7.8,PERSONAL,E,29173,,0.761,N,27,0
52,60130,MORTGAGE,8.4,VENTURE,D,21107,14.15,0.351,N,27,0
21,64373,MORTGAGE,1.3,EDUCATION,B,31145,9.55,0.484,N,6,0
52,60852,RENT,0.2,EDUCATION,D,28279,16.48,0.465,N,8,0
52,39241,MORTGAGE,6.1,HOMEIMPROVEMENT,A,26018,7.16,0.663,Y,3,0
60,64722,RENT,19.0,VENTURE,A,16203,7.57,0.25,N,19,0
32,106245,MORTGAGE,3.0,HOMEIMPROVEMENT,E,6995,19.15,0.066,N,11,0
49,24983,MORTGAGE,1.5,DEBTCONSOLIDATION,A,4253,7.78,0.17,N,25,0
52,30883,MORTGAGE,0.9,EDUCATION,A,9925,6.71,0.321,Y,23,0
32,49761,RENT,1.7,PERSONAL,B,34452,9.64,0.692,Y,22,0
45,27421,MORTGAGE,2.0,DEBTCONSOLIDATION,A,16213,6.01,0.591,N,20,0
41,18180,OWN,2.8,VENTURE,E,28580,21.61,1.572,N,21,1
58,89430,RENT,5.3,EDUCATION,E,1329,18.91,0.015,N,25,0
21,14388,OWN,1.6,VENTURE,B,22288,10.52,1.549,N,11,1
57,39288,MORTGAGE,0.3,DEBTCONSOLIDATION,B,22837,9.75,0.581,N,8,1
58,74415,MORTGAGE,2.3,PERSONAL,C,14704,,0.198,N,14,0
45,56765,RENT,9.7,MEDICAL,A,23333,6.99,0.411,N,26,0
65,39616,RENT,3.4,HOMEIMPROVEMENT,B,12801,10.39,0.323,N,14,0
34,26806,OWN,,HOMEIMPROVEMENT,A,33315,5.95,1.243,N,12,0
53,59226,RENT,3.5,DEBTCONSOLIDATION,B,4075,,0.069,N,20,0
61,28463,RENT,1.6,EDUCATION,C,9813,13.26,0.345,N,23,0
63,56741,MORTGAGE,1.1,EDUCATION,E,30321,21.16,0.534,N,8,0
59,52971,RENT,5.9,PERSONAL,D,31379,15.28,0.592,N,3,0
30,53266,MORTGAGE,3.8,EDUCATION,C,14058,12.47,0.264,N,13,0
22,34469,MORTGAGE,4.6,EDUCATION,B,27094,9.37,0.786,N,14,0
25,150129,OWN,7.0,EDUCATION,E,23212,18.66,0.155,Y,5,0
28,59695,MORTGAGE,,VENTURE,F,32545,22.8,0.545,N,2,1
25,42054,RENT,0.2,VENTURE,E,30765,16.54,0.732,N,21,1
28,56689,RENT,,MEDICAL,A,7426,6.94,0.131,Y,16,0
58,32017,MORTGAGE,3.8,VENTURE,C,15466,12.06,0.483,Y,29,1
50,39637,RENT,2.5,HOMEIMPROVEMENT,C,20400,11.93,0.515,N,19,1
51,182691,OTHER,3.9,DEBTCONSOLIDATION,B,16515,10.56,0.09,N,24,0
